turbine_id,x_m,y_m
1,732.546,-677.198
2,-628.478,-342.816
3,-964.576,-17.770
4,35.441,982.973
5,714.448,359.482
6,172.541,-983.468
7,29.904,-454.731
8,-454.124,-885.669
9,496.419,867.668
10,-792.824,606.295
11,270.627,295.625
12,-719.731,-688.408
13,399.079,-528.639
14,648.175,58.295
15,-14.540,671.777
16,736.162,673.223
17,985.468,-164.044
18,-31.247,357.558
19,-895.551,282.841
20,-942.987,-326.944
21,-149.290,-972.513
22,-275.179,961.377
23,976.415,143.939
24,-275.586,-388.598
