Dataset,Radius,Turbines,Baseline,MeanDiff,CI_low,CI_high,A12
1,500,4,SSA,-2.0573691268873517,-12.410388626245913,8.106157401310334,0.4677777777777778
1,500,4,PSO,7.173660522021237,-1.332326005735558,15.515279728981477,0.6511111111111111
1,500,4,DE,42.80050830253458,32.25585309454728,53.22240873978698,0.9266666666666666
1,750,8,SSA,164.45243437540194,-83.02695601938575,439.6675618219545,0.5888888888888889
1,750,8,PSO,721.6034205208271,377.9531793948656,1116.9060277607998,0.81
1,750,8,DE,2032.3270752540702,1699.5848364719782,2382.958205658807,0.9944444444444445
1,1000,8,SSA,41.08289771471755,-50.184857490114155,141.0558839051674,0.5411111111111111
1,1000,8,PSO,182.86605367989978,96.95463397196545,266.21961030511045,0.8077777777777778
1,1000,8,DE,593.413064415683,480.1907871006821,707.2957074123113,0.9622222222222222
2,500,4,SSA,52.72422855524928,16.771682878203684,89.02563711484962,0.68
2,500,4,PSO,0.898449336320482,-32.61844318677413,34.66650513279391,0.48333333333333334
2,500,4,DE,127.20027687084439,87.4400317887239,167.23466867296,0.8566666666666667
2,750,8,SSA,87.8944488089619,-87.43697079593494,251.29228792221505,0.5777777777777777
2,750,8,PSO,382.9392596891994,176.81074772562187,610.8907550524425,0.7588888888888888
2,750,8,DE,1141.0261147115598,918.2578660576573,1373.2956895987738,0.9788888888888889
2,1000,8,SSA,154.6467705774412,43.720581931348896,269.9060429821623,0.6755555555555556
2,1000,8,PSO,263.014641915026,157.32638591109827,371.47686210806825,0.8088888888888889
2,1000,8,DE,675.6775764592385,586.3644622095853,768.4128427623823,0.9933333333333333
