Dataset,Radius,Turbines,LXSSA,SSA,PSO,DE
1,500,4,0.1456037763506174,0.0353692649553219,0.0094420726100603,0.0126771789044141
1,750,8,0.1455716082205375,0.0135784833381573,0.0100068035225073,0.012007171412309
1,1000,8,0.1403845304002364,0.0129494294524192,0.0095771107822656,0.0121556767572959
2,500,4,0.1442629136145115,0.0356430893143018,0.0100345062712828,0.0118410410980383
2,750,8,0.1457654893398285,0.0133723595490058,0.0096049011995395,0.0125039336582024
2,1000,8,0.1453317834685246,0.0369464481870333,0.0095889919747908,0.0123903779933849
