Algorithm,Penalty,Dataset,Radius,Turbines,Seed,Score,Objective,Feasible
LXSSA,count,2,500,4,3,216.6339871276541,29044.879591611007,True
LXSSA,count,2,500,4,4,360.98680869103555,28900.526770047625,True
LXSSA,count,2,500,4,5,387.2877452996181,28874.225833439043,True
LXSSA,count,2,500,4,6,237.06867613150098,29024.44490260716,True
LXSSA,count,2,500,4,7,356.7582985475383,28904.755280191122,True
LXSSA,count,2,500,4,8,231.89168201670327,29029.621896721957,True
LXSSA,count,2,500,4,9,269.1246623849802,28992.38891635368,True
LXSSA,count,2,500,4,10,239.11548631304686,29022.398092425614,True
LXSSA,count,2,500,4,11,254.45086476254073,29007.06271397612,True
LXSSA,count,2,500,4,12,164.84866139160658,29096.664917347054,True
LXSSA,count,2,500,4,13,183.7085483077135,29077.805030430947,True
LXSSA,count,2,500,4,14,256.31763544775094,29005.19594329091,True
LXSSA,count,2,500,4,15,252.67643433209014,29008.83714440657,True
LXSSA,count,2,500,4,16,162.47565589017177,29099.03792284849,True
LXSSA,count,2,500,4,17,257.7628983927425,29003.75068034592,True
LXSSA,count,2,500,4,18,258.209462509094,29003.304116229567,True
LXSSA,count,2,500,4,19,185.94296040693007,29075.57061833173,True
LXSSA,count,2,500,4,20,305.5287836812786,28955.984795057382,True
LXSSA,count,2,500,4,21,224.6090278928168,29036.904550845844,True
LXSSA,count,2,500,4,22,52.10125719171265,29209.412321546948,True
LXSSA,count,2,500,4,23,319.2750615641453,28942.238517174515,True
LXSSA,count,2,500,4,24,221.93268752903896,29039.58089120962,True
LXSSA,count,2,500,4,25,238.11063852199004,29023.40294021667,True
LXSSA,count,2,500,4,26,329.89802669981873,28931.615552038842,True
LXSSA,count,2,500,4,27,140.83119490911122,29120.68238382955,True
LXSSA,count,2,500,4,28,213.0925770647009,29048.42100167396,True
LXSSA,count,2,500,4,29,141.18833469946912,29120.32524403919,True
LXSSA,count,2,500,4,30,205.4691116264039,29056.044467112257,True
LXSSA,count,2,750,8,1,1652.7671055725586,56870.26005190476,True
LXSSA,count,2,750,8,2,2188.8838003258716,56334.14335715145,True
LXSSA,count,2,750,8,3,2086.785926459612,56436.24123101771,True
LXSSA,count,2,750,8,4,1595.9258447327811,56927.10131274454,True
LXSSA,count,2,750,8,5,1327.2611126719858,57195.766044805336,True
LXSSA,count,2,750,8,6,1742.0489335754464,56780.978223901875,True
LXSSA,count,2,750,8,7,1484.5163172984176,57038.510840178904,True
LXSSA,count,2,750,8,8,1847.6572830454825,56675.36987443184,True
LXSSA,count,2,750,8,9,1863.2093281500129,56659.81782932731,True
LXSSA,count,2,750,8,10,1720.0235790863808,56803.00357839094,True
LXSSA,count,2,750,8,11,2149.354061657854,56373.67309581947,True
LXSSA,count,2,750,8,12,2053.562994195374,56469.46416328195,True
LXSSA,count,2,750,8,13,1998.2876297074617,56524.73952776986,True
LXSSA,count,2,750,8,14,2238.1484738303334,56284.87868364699,True
LXSSA,count,2,750,8,15,1799.9774843078558,56723.049673169466,True
LXSSA,count,2,750,8,16,2199.4727110652966,56323.554446412025,True
LXSSA,count,2,750,8,17,1421.3508396671969,57101.676317810125,True
LXSSA,count,2,750,8,18,1753.138237233943,56769.88892024338,True
LXSSA,count,2,750,8,19,10000001418.39255,57104.634607978434,False
LXSSA,count,2,750,8,20,1479.4133610360077,57043.613796441314,True
LXSSA,count,2,750,8,21,1319.5340065590353,57203.493150918286,True
LXSSA,count,2,750,8,22,1802.4693632710332,56720.55779420629,True
LXSSA,count,2,750,8,23,1846.634043696169,56676.39311378115,True
LXSSA,count,2,750,8,24,1931.4155279253246,56591.611629552,True
LXSSA,count,2,750,8,25,1419.1689898924233,57103.8581675849,True
LXSSA,count,2,750,8,26,1712.0425600304297,56810.98459744689,True
