Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
budget,LXSSA,6030,6030,4D,1,500,4,1,56099.80039308553,56182.949478939314,83.14908585378726,True,620.2164706266375,1.825646534999976,-393.7516 293.1021;-142.7322 -358.6129;457.2878 -201.6271;287.9032 408.5251
budget,LXSSA,6030,6030,4D,1,500,4,2,56086.92061838874,56182.949478939314,96.02886055057024,True,475.9618683786041,1.7824435079999716,274.1009 -406.9894;446.9585 36.4741;-284.9127 -396.1011;-495.7393 50.9025
budget,LXSSA,6030,6030,4D,1,500,4,3,56024.00549387727,56182.949478939314,158.94398506204743,True,396.0505039550994,1.827279136000016,-432.4350 -2.4188;287.6228 -408.9842;-209.5928 453.9446;-33.1926 -176.7484
budget,LXSSA,6030,6030,4D,1,500,4,4,56076.22988261689,56182.949478939314,106.71959632242216,True,467.3319164624557,1.935329792999994,469.2747 172.0751;-386.9954 171.8540;58.5450 395.0107;-159.9810 -464.0648
budget,LXSSA,6030,6030,4D,1,500,4,5,56081.79477286208,56182.949478939314,101.15470607723546,True,356.59628107491795,1.8720592999999892,-135.9179 -479.8598;121.3647 129.2033;477.4821 147.6787;-488.0044 54.5591
budget,LXSSA,6030,6030,4D,1,500,4,6,56090.48119066869,56182.949478939314,92.46828827062564,True,480.7008797596863,1.9429113630000077,334.0228 -316.5080;-133.5630 -428.0285;-496.3026 60.6031;121.3473 478.4714
budget,LXSSA,6030,6030,4D,1,500,4,7,56071.16515569179,56182.949478939314,111.78432324752066,True,606.2202893408761,1.8605277099999853,-456.1440 -201.0513;-243.7606 366.7482;462.1163 187.0877;203.1908 -433.2878
budget,LXSSA,6030,6030,4D,1,500,4,8,56068.73593745501,56182.949478939314,114.21354148429964,True,390.4114884640376,1.9046148559999665,455.2468 -187.9582;-492.3541 -87.0412;204.2781 456.3405;-111.2715 -171.8777
budget,LXSSA,6030,6030,4D,1,500,4,9,56099.463853027424,56182.949478939314,83.48562591188966,True,602.1776400845831,1.922669940999981,402.6189 -295.9830;-282.0607 -397.7982;137.3492 347.6484;-450.3847 216.5499
budget,LXSSA,6030,6030,4D,1,500,4,10,56066.84910884213,56182.949478939314,116.10037009718508,True,413.8109009484688,1.8946119970000268,301.5507 -241.3907;-21.9164 -499.4769;-453.4133 -206.3499;-38.7794 498.4917
