Experiment,Algorithm,Budget,Calls,Spacing,Dataset,Radius,Turbines,Seed,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates
crowded,LXSSA,6030,6030,4D,1,500,10,16,133317.53419533063,140457.3736973483,7139.839502017654,False,303.6360720996894,2.698665587999926,-160.9185 -428.1938;492.5415 86.0340;194.8343 26.3239;-33.3094 230.8088;-63.5281 -139.5330;153.9494 -387.9144;-429.0341 -146.0694;-338.8057 243.9084;293.1708 323.7346;428.6123 -238.1173
crowded,LXSSA,6030,6030,4D,1,500,10,17,129409.04290036645,140457.3736973483,11048.330796981842,False,295.9241743434654,2.6863836159999437,363.2173 304.8688;-146.2039 -477.0931;45.2457 -75.4147;-399.3478 -10.1059;-393.4581 -308.5243;149.3375 -462.0474;-250.9269 292.9808;47.5759 232.3057;393.2739 -274.2844;490.3393 16.1183
crowded,LXSSA,6030,6030,4D,1,500,10,18,133300.4571591368,140457.3736973483,7156.916538211488,True,308.2355535950172,2.7010975690000123,333.9743 293.1596;-203.4597 456.4595;-103.3918 164.9195;60.9346 -98.9648;457.7102 6.6130;82.1421 -476.5377;319.1797 -275.4131;-199.4948 -279.8935;-436.1254 -76.0444;-438.2931 239.3751
crowded,LXSSA,6030,6030,4D,1,500,10,19,131205.43287467677,140457.3736973483,9251.940822671517,True,308.03700692001803,2.622947763999946,-78.3631 -493.8209;84.6841 146.3989;56.6204 -172.5261;-388.6640 -236.6558;-494.3308 72.8355;266.4128 -399.3211;416.5290 -92.6919;-192.8213 9.7575;362.4457 289.2684;-231.8019 424.6532
crowded,LXSSA,6030,6030,4D,1,500,10,20,130350.33819336878,140457.3736973483,10107.03550397951,False,304.679121611613,2.8877972360000967,177.8702 -449.5819;209.3613 -29.1549;-27.0579 -222.0494;-101.4523 484.5610;493.3697 81.1564;-295.6577 -20.0099;421.2076 -263.4365;-355.4050 311.7331;-54.9068 177.1968;233.0472 283.7022
crowded,LXSSA,6030,6030,4D,1,500,10,21,130104.30549806354,140457.3736973483,10353.068199284753,False,288.7800275692773,2.9247738670001127,-79.5433 -318.1410;-479.6361 141.2427;190.4030 100.5951;215.5435 -415.9612;485.9349 93.9373;-102.9236 489.2920;448.4791 -207.3218;176.6512 411.4267;-381.2996 -274.9715;-197.0208 216.2725
crowded,LXSSA,6030,6030,4D,1,500,10,22,127646.25656046194,140457.3736973483,12811.117136886343,False,299.33265467513996,2.9006847670000298,258.3718 -95.0539;5.7326 80.4804;282.9652 -396.8341;-54.3013 380.6293;-357.0039 325.4807;-425.8832 -253.2170;-70.7644 -231.3265;485.4014 114.4482;243.8461 327.1923;-287.7762 21.7216
crowded,LXSSA,6030,6030,4D,1,500,10,23,130981.76160904476,140457.3736973483,9475.612088303533,True,308.17053330296955,2.724508777999972,-209.5051 -370.4231;155.9968 87.9965;466.0147 17.6527;-146.6288 23.7541;322.9960 -379.6963;-451.0939 203.6852;61.3051 -216.9483;105.8522 463.8692;-423.0682 -140.9551;-212.9360 403.4630
crowded,LXSSA,6030,6030,4D,1,500,10,24,127762.75028450743,140457.3736973483,12694.623412840854,False,306.76461080029685,2.687300246999939,167.4006 71.7277;69.3786 362.4100;-231.6168 134.9551;268.5494 -274.8626;-15.5340 -466.8645;413.8563 270.4227;-231.3155 442.8615;-70.6292 -126.4078;-455.1302 -76.5019;-338.3349 -366.5380
crowded,LXSSA,6030,6030,4D,1,500,10,25,131866.5149462957,140457.3736973483,8590.858751052583,False,307.5509477166401,2.82147583699998,-41.3871 332.2958;-491.1590 75.4943;57.6883 -472.9735;148.7840 90.3245;-350.8025 -201.8853;464.7472 131.0640;249.7790 432.5531;-349.8741 348.6722;-41.8894 -179.5525;310.9884 -251.5445
