Spacing,Greedy,Iterations,Evaluations,Dataset,Radius,Turbines,Run,Objective,WakeLoss,Violation,Feasible,Seconds,Coordinates
4D,False,100,3030,1,500,4,18,56102.41924101356,80.5302379257555,0.0,True,0.24563067600001887,-197.1919 459.4726;495.5302 66.7070;-404.1996 -292.5927;253.7151 -430.8464
4D,False,100,3030,1,500,4,19,56080.4683681656,102.4811107737114,0.0,True,0.2490921579999963,-115.6779 -486.4346;139.2060 480.2309;-496.2096 61.4493;465.1289 -183.4532
4D,False,100,3030,1,500,4,20,56091.921865359735,91.02761357957934,0.0,True,0.2572222670000315,498.6826 36.2714;27.4389 -499.2465;-484.0349 -125.3405;-210.3671 451.6751
4D,False,100,3030,1,500,4,21,56092.245038305584,90.70444063372997,0.0,True,0.2716876210000123,-359.5163 -323.8854;73.1928 -362.5923;-120.0371 347.9207;346.7953 360.1847
4D,False,100,3030,1,500,4,22,56111.968310480006,70.98116845930781,0.0,True,0.24912400800002388,-64.8255 -495.3969;-464.2133 184.8683;-48.7490 497.6178;478.6176 41.9551
4D,False,100,3030,1,500,4,23,56121.85897071738,61.090508221932396,0.0,True,0.28218607600001633,308.2621 390.6522;-443.7925 -203.1663;-185.6367 464.2618;302.4646 -398.1396
4D,False,100,3030,1,500,4,24,56098.036714492424,84.91276444688992,0.0,True,0.26222014499995794,474.4688 157.7318;-179.4103 296.5033;236.8888 -440.3223;-369.5555 -336.7919
4D,False,100,3030,1,500,4,25,56104.22800385722,78.7214750820931,0.0,True,0.2625666359999741,-40.1203 498.3878;408.2480 -288.6756;-498.4252 -39.6527;-32.4882 -393.2581
4D,False,100,3030,1,500,4,26,56106.50547124788,76.44400769143249,0.0,True,0.267763575999993,-318.7759 377.8704;462.0898 50.6308;-76.2895 -482.0440;163.8480 472.3916
4D,False,100,3030,1,500,4,27,56094.072096656695,88.87738228261878,0.0,True,0.2809639849999712,-109.7170 373.8224;168.7204 -327.8350;399.7724 300.3033;-309.0012 -393.0879
4D,False,100,3030,1,500,4,28,56063.803762902826,119.14571603648801,0.0,True,0.26813286800000924,-259.0409 -427.6655;-491.7017 90.6325;248.2291 -112.3831;418.8026 273.1380
4D,False,100,3030,1,500,4,29,56087.78773475307,95.16174418624723,0.0,True,0.2795065230000091,-196.3214 -459.8455;32.5433 362.2963;-425.2941 262.9162;447.4362 -223.1610
