Algorithm,Dataset,Radius,Turbines,Seed,Calls,Objective,Ideal,WakeLoss,Feasible,MinSpacing,Seconds,Coordinates,Curve
LXVNS,1,500,2,1,6030,28091.474739469657,28091.474739469657,0.0,True,705.1879065156749,1.8419889639999951,41.815 357.942;-140.884 -323.168,28080.978;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,2,6030,28091.474739469657,28091.474739469657,0.0,True,871.6897683949726,1.8601033250000114,35.604 453.742;44.208 -417.905,28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,3,6030,28091.474739469657,28091.474739469657,0.0,True,784.4848692303684,1.799848945000008,161.996 -272.403;-389.234 285.774,28079.947;28079.947;28079.947;28081.416;28081.416;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,4,6030,28091.474739469657,28091.474739469657,0.0,True,873.5287830834799,2.033488890000001,443.488 -17.210;-397.506 218.972,28082.269;28082.269;28082.269;28082.269;28082.269;28082.269;28082.269;28082.484;28082.484;28082.615;28082.615;28083.140;28083.140;28083.140;28083.140;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,5,6030,28091.474739469657,28091.474739469657,0.0,True,782.8598316816967,1.6617352669999832,-467.157 76.143;289.195 -125.847,28083.246;28083.246;28083.246;28083.246;28083.246;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,6,6030,28091.474739469657,28091.474739469657,0.0,True,846.9039712202355,1.7097020839999573,-295.847 -206.256;440.674 211.815,28079.584;28081.697;28081.697;28081.921;28081.921;28081.921;28081.921;28081.921;28081.921;28081.921;28081.921;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,7,6030,28091.474739469657,28091.474739469657,0.0,True,903.1944937592823,1.805623895999986,-428.117 125.994;359.419 -316.213,28079.641;28079.641;28079.641;28079.641;28079.641;28081.437;28081.437;28081.437;28081.437;28082.307;28082.307;28082.307;28082.307;28082.307;28082.307;28082.307;28082.307;28082.307;28082.307;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,8,6030,28091.474739469657,28091.474739469657,0.0,True,898.8031685089114,1.6875073250000128,354.006 337.881;-422.600 -114.590,28080.057;28080.057;28080.057;28080.057;28080.057;28083.150;28083.150;28083.150;28083.150;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,9,6030,28091.474739469657,28091.474739469657,0.0,True,817.9875396577552,1.6976567570000043,-314.262 -250.529;474.351 -33.290,28068.857;28075.715;28075.715;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
LXVNS,1,500,2,10,6030,28091.474739469657,28091.474739469657,0.0,True,720.430178972527,1.7250630279999655,-355.184 71.181;340.554 258.179,28080.914;28081.201;28081.201;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475;28091.475
