,3030,6030
LXSSA,3.5222222222222217,3.4555555555555553
SSA,2.8611111111111107,3.0611111111111113
PSO,3.3333333333333335,3.1277777777777778
DE,5.3500000000000005,4.866666666666666
VNS,2.088888888888889,2.277777777777778
SLSQP,3.8444444444444446,4.211111111111111
