Dataset,Radius,Turbines,Algorithm,Seed,Objective,WakeLoss,Coordinates
1,500,10,LXBV,24,135697.88820750898,4759.48548983931,-489.981 -96.435;-183.424 465.140;149.262 -57.573;420.417 -248.170;-159.426 -33.676;480.555 136.363;15.639 225.335;-383.426 225.685;254.512 430.056;-194.043 -460.662
1,500,10,SLSQP,4,138171.16097149582,2286.2127258524706,-315.241 388.099;277.950 -409.233;-187.184 43.614;-27.616 -450.465;-17.684 306.630;460.744 -160.380;-365.669 -337.806;-485.533 -33.045;273.514 408.751;140.280 40.721
1,750,12,LXBV,26,166277.44435017626,2271.4040866416763,-556.011 -499.511;445.264 -601.957;-246.076 -651.481;-90.924 -147.594;101.767 -579.417;-237.323 336.736;-383.361 642.693;357.244 276.420;-557.255 278.490;87.244 499.162;-727.825 -150.936;633.362 -43.964
1,1000,15,LXBV,10,208595.08787657507,2090.9726694473648,553.073 -788.654;593.957 797.460;-373.678 -441.683;755.721 466.943;314.306 -516.525;-32.734 -887.295;-21.240 169.824;555.479 -38.284;-829.775 383.957;-824.361 -418.243;172.587 894.505;-536.942 -761.919;954.026 -103.993;-549.118 153.352;190.193 -160.246
2,500,10,LXBV,29,68295.05841085431,4858.725535992329,-214.355 9.622;80.603 148.321;-26.088 -498.876;498.218 -41.079;-324.457 -304.437;59.646 -172.028;343.180 -363.407;186.325 463.799;425.288 261.157;-149.665 405.783
2,750,12,LXBV,20,83406.13966289135,4378.401073324625,-46.742 -62.178;507.143 530.391;710.769 -65.352;-362.341 521.112;-165.809 -399.887;587.312 -466.214;343.473 -189.661;-737.826 -62.056;-19.377 690.659;234.541 -647.170;32.880 244.355;-480.986 223.165
2,750,12,BVNS,10,83609.6460380137,4174.894698202275,-220.717 -239.976;-184.644 -704.731;425.408 -617.022;-196.094 723.813;745.501 9.457;502.075 -260.439;259.729 701.513;40.118 163.427;-660.609 -195.477;-541.518 -517.982;-299.624 433.011;-722.874 161.426
2,1000,15,LXBV,13,105261.6060363843,4469.069883885677,762.381 -262.122;-103.070 -497.163;303.506 -952.328;500.189 220.128;-859.660 -238.218;133.940 -228.788;-69.675 381.730;758.867 611.166;732.598 -677.014;-213.121 6.220;243.503 814.283;-785.001 189.525;-759.054 647.053;273.177 -514.967;-546.964 -725.448
