turbine_id,x_m,y_m
1,-281.762,337.261
2,-595.810,369.711
3,-609.227,790.044
4,579.830,-106.713
5,941.186,-94.236
6,-730.495,-673.921
7,30.379,-19.649
8,-188.762,-961.352
9,961.269,275.363
10,119.088,-945.580
11,-148.443,988.133
12,-640.300,-362.858
13,710.762,699.021
14,36.072,298.847
15,-422.427,-685.044
16,451.568,-890.333
17,-947.497,-319.763
18,463.096,885.672
19,913.765,-405.175
20,-932.378,360.859
21,-994.191,-15.264
22,672.716,384.234
23,-112.776,-657.850
24,164.984,971.200
