turbine_id,x_m,y_m
1,851.490,-523.710
2,-625.451,-337.153
3,-908.763,-14.793
4,98.904,974.762
5,645.090,312.157
6,425.537,-904.891
7,-303.281,-637.079
8,-321.072,-944.728
9,410.581,909.479
10,-795.899,604.676
11,451.395,-541.628
12,-707.504,-691.002
13,746.056,631.526
14,443.374,-232.096
15,-273.072,589.527
16,432.480,599.039
17,989.977,-73.540
18,-256.852,275.639
19,-869.592,291.885
20,-936.302,-326.374
21,-4.561,-989.049
22,-278.466,960.037
23,955.063,279.336
24,-279.289,-308.963
