turbine_id,x_m,y_m
1,851.633,-523.765
2,-621.686,-333.091
3,-998.142,-32.030
4,189.555,981.180
5,673.864,273.170
6,357.875,-933.558
7,-338.629,-622.757
8,-360.293,-932.747
9,482.744,874.422
10,-745.494,661.703
11,39.204,-636.181
12,-706.153,-675.399
13,793.196,592.845
14,588.500,-191.097
15,-255.169,632.173
16,483.792,566.294
17,903.788,-219.247
18,-250.558,311.361
19,-961.037,273.957
20,-938.613,-337.894
21,0.255,-951.706
22,-208.172,977.488
23,976.239,210.944
24,-299.448,-308.947
