turbine_id,x_m,y_m
1,625.020,-780.355
2,-593.942,-282.174
3,-982.365,-85.034
4,-38.453,985.636
5,734.244,472.836
6,229.495,-973.002
7,-406.799,-563.746
8,-438.680,-898.458
9,580.377,813.930
10,-761.271,630.392
11,126.003,156.128
12,-715.800,-698.145
13,211.220,-598.223
14,664.841,-22.775
15,296.444,953.058
16,232.309,503.622
17,981.445,-111.409
18,-420.869,294.947
19,-847.055,330.498
20,-902.868,-419.581
21,-102.927,-994.332
22,-382.069,905.353
23,949.531,249.815
24,4.409,-363.914
