Dataset,Radius,Turbines,H,P
1,500,4,52.2134986225895,2.697150609242215e-11
1,750,8,67.41669421487603,1.525032218842959e-14
1,1000,8,61.67862258953164,2.573606615045999e-13
2,500,4,38.22914600550962,2.5277176628858517e-08
2,750,8,63.058292011019205,1.3049906731107004e-13
2,1000,8,66.62044077134988,2.2577561526474955e-14
