turbine_id,x_m,y_m
1,818.742,-573.815
2,-360.097,-224.921
3,-927.303,-38.543
4,95.475,965.806
5,667.379,324.752
6,396.651,-916.368
7,-398.702,-587.444
8,-426.446,-901.725
9,401.396,911.850
10,-810.428,585.459
11,417.785,604.084
12,-762.577,-625.705
13,425.036,-598.166
14,566.198,-116.516
15,-355.092,409.447
16,730.650,642.786
17,994.599,-101.642
18,-361.169,93.694
19,-889.159,275.099
20,-916.785,-355.853
21,-114.173,-986.121
22,-255.267,966.827
23,967.661,244.416
24,-27.704,-598.354
