turbine_id,x_m,y_m
1,-345.761,161.590
2,-660.581,166.848
3,-434.433,900.608
4,508.432,-547.057
5,688.798,-19.074
6,-738.592,-665.589
7,-297.898,-293.163
8,-360.590,-928.102
9,999.163,-35.343
10,-50.039,-998.695
11,-126.340,936.133
12,-628.288,-306.941
13,791.538,594.429
14,470.149,553.584
15,-332.098,-610.341
16,373.763,-927.517
17,-942.121,-300.930
18,491.926,864.080
19,830.097,-557.097
20,-891.501,452.065
21,-987.948,153.787
22,753.816,286.299
23,53.567,-580.565
24,188.574,931.186
